Date,Price,Open,High,Low,Volume,Chg%
"Sep 08, 2020","51,433","51,000","51,498","50,714",44.49K,0.56%
"Sep 07, 2020","51,149","50,855","51,284","50,789",21.05K,0.83%
"Sep 04, 2020","50,728","50,980","50,980","50,501",0.14K,-0.08%
"Sep 03, 2020","50,768","50,755","51,022","50,502",0.35K,0.38%
"Sep 02, 2020","50,577","51,035","51,160","50,500",0.10K,-0.86%
"Sep 01, 2020","51,017","51,533","51,708","50,966",1.49K,-0.16%
"Aug 31, 2020","51,099","51,267","51,295","50,901",4.57K,0.10%
"Aug 28, 2020","51,050","51,000","51,395","50,551",31.61K,1.08%
"Aug 27, 2020","50,507","51,700","51,721","50,213",53.54K,-2.15%
"Aug 26, 2020","51,619","51,070","51,749","50,513",48.63K,1.34%
"Aug 25, 2020","50,936","51,508","51,563","50,860",39.54K,-0.87%
"Aug 24, 2020","51,385","51,959","52,250","51,266",47.38K,-1.27%
"Aug 21, 2020","52,045","52,400","52,598","51,355",59.16K,-0.49%
"Aug 20, 2020","52,302","52,500","52,659","51,860",55.71K,-0.99%
"Aug 19, 2020","52,824","53,576","53,786","52,505",56.45K,-1.70%
"Aug 18, 2020","53,738","53,387","54,180","51,888",70.76K,0.57%
"Aug 17, 2020","53,435","52,468","53,640","52,270",43.93K,1.88%
"Aug 14, 2020","52,451","52,801","53,000","52,000",47.42K,-1.31%
"Aug 13, 2020","53,148","52,353","53,250","52,020",54.50K,1.22%
"Aug 12, 2020","52,505","50,680","52,840","50,026",92.18K,0.69%
"Aug 11, 2020","52,144","55,150","55,150","51,929",80.85K,-5.61%
"Aug 10, 2020","55,243","54,900","55,660","54,900",35.60K,0.41%
"Aug 07, 2020","55,018","56,351","56,499","54,925",53.59K,-1.96%
"Aug 06, 2020","56,117","55,405","56,199","55,400",45.66K,0.94%
"Aug 05, 2020","55,597","54,900","55,949","54,701",0.04K,1.48%
"Aug 04, 2020","54,784","54,094","54,950","53,641",0.11K,1.59%
"Aug 03, 2020","53,927","53,988","53,988","53,600",0.15K,0.64%
"Jul 31, 2020","53,582","53,999","54,000","53,210",0.67K,1.12%
"Jul 30, 2020","52,986","53,301","53,388","52,715",3.70K,-0.42%
"Jul 29, 2020","53,207","52,878","53,323","52,475",28.84K,0.90%
"Jul 28, 2020","52,731","52,390","52,844","51,351",54.99K,0.97%
"Jul 27, 2020","52,227","51,700","52,375","51,700",39.48K,2.17%
"Jul 24, 2020","51,120","50,800","51,230","50,669",39.02K,0.71%
"Jul 23, 2020","50,762","50,000","50,970","50,000",45.43K,1.29%
"Jul 22, 2020","50,115","49,734","50,238","49,640",46.55K,1.12%
"Jul 21, 2020","49,559","49,128","49,599","49,066",31.55K,1.00%
"Jul 20, 2020","49,067","49,000","49,190","48,891",27.74K,0.13%
"Jul 17, 2020","49,001","48,812","49,086","48,760",28.01K,0.39%
"Jul 16, 2020","48,811","49,121","49,246","48,755",30.04K,-0.75%
"Jul 15, 2020","49,182","49,240","49,273","48,951",37.68K,-0.19%
"Jul 14, 2020","49,277","49,150","49,299","48,811",41.50K,0.20%
"Jul 13, 2020","49,180","48,920","49,258","48,920",34.25K,0.61%
"Jul 10, 2020","48,883","48,900","49,217","48,731",38.45K,-0.03%
"Jul 09, 2020","48,896","49,095","49,298","48,780",46.25K,-0.54%
"Jul 08, 2020","49,160","48,701","49,317","48,635",42.55K,0.75%
"Jul 07, 2020","48,796","48,200","48,829","48,110",44.01K,1.14%
"Jul 06, 2020","48,247","47,976","48,300","47,830",36.25K,-0.18%
"Jul 03, 2020","48,336","49,304","49,304","48,100",0.07K,-0.21%
"Jul 02, 2020","48,437","48,340","48,529","47,970",0.09K,0.08%
"Jul 01, 2020","48,400","48,986","49,020","48,251",0.33K,-0.94%
"Jun 30, 2020","48,861","48,237","48,999","48,237",0.63K,1.38%
"Jun 29, 2020","48,194","48,420","48,513","48,080",3.74K,-0.35%
"Jun 26, 2020","48,363","48,030","48,431","47,825",26.21K,0.86%
"Jun 25, 2020","47,952","48,048","48,147","47,830",28.16K,-0.32%
"Jun 24, 2020","48,105","48,019","48,421","47,969",42.48K,-0.17%
"Jun 23, 2020","48,186","47,899","48,227","47,726",35.72K,0.57%
"Jun 22, 2020","47,912","47,999","48,259","47,792",42.28K,0.01%
"Jun 19, 2020","47,907","47,300","47,938","47,300",37.64K,1.22%
"Jun 18, 2020","47,328","47,290","47,550","47,130",39.88K,0.02%
"Jun 17, 2020","47,320","47,363","47,453","47,020",35.35K,-0.45%
"Jun 16, 2020","47,534","47,200","47,610","46,974",46.86K,1.14%
"Jun 15, 2020","46,999","47,200","47,242","46,569",42.28K,-0.69%
"Jun 12, 2020","47,325","47,400","47,493","47,073",40.80K,-0.17%
"Jun 11, 2020","47,405","46,767","47,630","46,767",53.47K,1.66%
"Jun 10, 2020","46,629","46,614","46,923","46,502",34.60K,0.07%
"Jun 09, 2020","46,595","46,070","46,666","45,962",41.71K,1.05%
"Jun 08, 2020","46,110","45,800","46,175","45,772",39.33K,-0.51%
"Jun 05, 2020","46,346","46,750","46,805","46,100",0.06K,-0.93%
"Jun 04, 2020","46,781","46,399","47,125","46,235",0.08K,1.25%
"Jun 03, 2020","46,203","46,750","46,851","46,150",0.18K,-1.27%
"Jun 02, 2020","46,796","47,090","47,375","46,753",0.22K,-0.47%
"Jun 01, 2020","47,018","46,900","47,299","46,702",2.01K,0.34%
"May 29, 2020","46,858","46,579","46,924","46,468",24.16K,0.83%
"May 28, 2020","46,474","46,740","46,930","46,400",35.54K,-0.37%
"May 27, 2020","46,647","46,390","46,698","45,855",47.49K,0.55%
"May 26, 2020","46,393","47,047","47,150","46,302",41.02K,-1.19%
"May 25, 2020","46,953","46,800","47,029","46,666",17.27K,-0.22%
"May 22, 2020","47,057","46,420","47,118","46,420",42.90K,1.38%
"May 21, 2020","46,417","46,944","46,980","46,265",40.76K,-1.51%
"May 20, 2020","47,129","47,165","47,380","46,850",40.32K,0.20%
"May 19, 2020","47,036","46,656","47,180","46,463",47.80K,0.82%
"May 18, 2020","46,652","47,500","47,965","46,550",65.73K,-1.48%
"May 15, 2020","47,352","46,490","47,420","46,480",51.03K,1.55%
"May 14, 2020","46,631","46,020","46,735","46,020",47.99K,1.41%
"May 13, 2020","45,983","45,634","46,087","45,527",41.42K,0.76%
"May 12, 2020","45,635","45,821","45,970","45,551",37.85K,-0.33%
"May 11, 2020","45,785","45,842","45,980","45,609",39.59K,-0.08%
"May 08, 2020","45,820","46,050","46,343","45,751",53.03K,-0.71%
"May 07, 2020","46,147","45,450","46,222","45,355",40.80K,1.67%
"May 06, 2020","45,387","45,700","45,850","45,330",37.99K,-0.33%
"May 05, 2020","45,539","45,400","45,590","44,768",0.23K,-0.49%
"May 04, 2020","45,762","45,403","46,090","45,349",0.49K,1.13%
"May 01, 2020","45,251","44,703","45,380","44,441",0.31K,1.35%
"Apr 30, 2020","44,647","45,642","45,761","44,200",2.13K,-1.74%
"Apr 29, 2020","45,439","46,290","46,308","45,401",4.78K,-1.62%
"Apr 28, 2020","46,188","46,290","46,333","45,750",25.39K,-0.36%
"Apr 27, 2020","46,353","46,352","46,673","46,250",36.81K,-0.42%
"Apr 24, 2020","46,550","46,491","46,850","46,160",43.75K,0.16%
"Apr 23, 2020","46,475","46,499","46,680","46,171",42.68K,0.62%
"Apr 22, 2020","46,189","45,656","46,290","45,475",32.76K,1.78%
"Apr 21, 2020","45,383","45,735","46,275","45,100",31.18K,-0.75%
"Apr 20, 2020","45,724","45,400","45,949","45,265",24.61K,-0.29%
"Apr 17, 2020","45,855","47,005","47,005","45,400",32.29K,-2.86%
"Apr 16, 2020","47,203","46,783","47,290","46,478",21.66K,1.09%
"Apr 15, 2020","46,696","46,499","46,782","46,030",26.09K,0.92%
"Apr 13, 2020","46,270","45,499","46,360","45,499",19.51K,2.19%
"Apr 09, 2020","45,279","44,970","45,330","44,802",13.16K,0.75%
"Apr 08, 2020","44,944","44,762","45,000","44,650",12.64K,-0.22%
"Apr 07, 2020","45,043","44,000","46,299","44,000",20.59K,1.68%
"Apr 03, 2020","44,298","44,190","44,400","43,860",0.08K,1.65%
"Apr 01, 2020","43,578","42,854","43,645","42,800",0.05K,0.82%
"Mar 31, 2020","43,225","44,373","44,399","43,060",0.29K,-1.50%
"Mar 30, 2020","43,883","43,200","44,180","43,200",0.92K,0.67%
"Mar 27, 2020","43,590","43,520","43,759","43,035",20.61K,-0.09%
"Mar 26, 2020","43,631","42,400","43,900","42,000",34.45K,2.15%
"Mar 25, 2020","42,713","42,100","42,889","41,400",32.14K,2.01%
"Mar 24, 2020","41,873","41,451","42,176","40,115",40.08K,1.35%
"Mar 23, 2020","41,317","40,668","41,500","39,820",43.82K,2.22%
"Mar 20, 2020","40,419","40,049","40,987","39,885",46.77K,1.33%
"Mar 19, 2020","39,889","39,700","40,170","39,121",49.45K,0.31%
"Mar 18, 2020","39,764","40,239","40,480","39,368",72.46K,-1.28%
"Mar 17, 2020","40,279","39,750","40,950","38,700",82.57K,1.85%
"Mar 16, 2020","39,548","40,802","41,291","38,419",106.92K,-2.07%
"Mar 13, 2020","40,382","42,000","42,085","40,155",66.62K,-4.35%
"Mar 12, 2020","42,217","43,311","43,615","41,601",75.05K,-2.58%
"Mar 11, 2020","43,334","43,690","43,838","43,270",35.13K,-0.82%
"Mar 10, 2020","43,694","44,280","44,280","43,511",23.91K,-1.39%
"Mar 09, 2020","44,308","44,200","44,740","43,829",61.17K,0.48%
"Mar 06, 2020","44,098","44,200","44,881","43,407",76.25K,0.51%
"Mar 05, 2020","43,874","43,050","44,255","43,050",0.37K,1.48%
"Mar 04, 2020","43,235","43,100","43,649","43,006",0.09K,0.31%
"Mar 03, 2020","43,100","42,050","43,277","41,960",0.07K,2.58%
"Mar 02, 2020","42,017","43,014","43,014","41,689",0.31K,0.61%
"Feb 28, 2020","41,763","42,350","43,000","41,248",4.47K,-1.02%
"Feb 27, 2020","42,193","42,460","42,735","42,154",18.40K,-0.37%
"Feb 26, 2020","42,349","42,470","42,735","42,006",26.97K,-0.76%
"Feb 25, 2020","42,675","43,160","43,200","42,257",33.28K,-1.80%
"Feb 24, 2020","43,456","42,750","43,585","42,750",39.10K,2.22%
"Feb 21, 2020","42,511","42,000","42,571","42,000",19.67K,1.49%
"Feb 20, 2020","41,886","41,488","41,987","41,390",27.95K,1.02%
"Feb 19, 2020","41,463","41,400","41,486","41,230",19.08K,0.37%
"Feb 18, 2020","41,311","40,820","41,343","40,800",22.27K,1.54%
"Feb 17, 2020","40,686","40,826","40,843","40,660",11.09K,-0.47%
"Feb 14, 2020","40,879","40,489","40,912","40,489",15.05K,0.74%
"Feb 13, 2020","40,580","40,474","40,625","40,460",14.93K,0.38%
"Feb 12, 2020","40,427","40,352","40,464","40,251",14.13K,0.18%
"Feb 11, 2020","40,353","40,510","40,510","40,243",17.79K,-0.63%
"Feb 10, 2020","40,607","40,533","40,635","40,451",13.04K,0.11%
"Feb 07, 2020","40,563","40,345","40,633","40,232",19.97K,0.69%
"Feb 06, 2020","40,287","40,043","40,345","39,972",15.61K,0.18%
"Feb 05, 2020","40,213","40,690","40,700","40,100",0.04K,0.39%
"Feb 04, 2020","40,056","40,618","40,839","39,750",0.10K,-1.42%
"Feb 03, 2020","40,633","41,178","41,178","40,590",0.19K,-1.13%
"Feb 01, 2020","41,099","41,249","41,315","40,901",7.33K,0.21%
"Jan 31, 2020","41,012","40,490","41,161","40,490",1.15K,0.28%
"Jan 30, 2020","40,897","40,400","40,990","40,400",4.95K,1.43%
"Jan 29, 2020","40,321","40,100","40,380","40,023",13.24K,0.30%
"Jan 28, 2020","40,200","40,523","40,561","40,130",19.40K,-0.88%
"Jan 27, 2020","40,557","40,400","40,721","40,400",20.09K,0.58%
"Jan 24, 2020","40,322","40,139","40,399","39,929",23.43K,0.17%
"Jan 23, 2020","40,255","39,917","40,274","39,806",21.34K,0.91%
"Jan 22, 2020","39,893","39,813","39,939","39,736",15.26K,0.00%
"Jan 21, 2020","39,892","40,000","40,150","39,660",24.67K,-0.09%
"Jan 20, 2020","39,927","39,990","39,990","39,870",10.01K,0.02%
"Jan 17, 2020","39,920","39,749","39,959","39,684",15.50K,0.61%
"Jan 16, 2020","39,676","39,562","39,762","39,562",15.82K,0.20%
"Jan 15, 2020","39,598","39,600","39,699","39,464",18.19K,0.39%
"Jan 14, 2020","39,443","39,500","39,525","39,280",19.10K,-0.25%
"Jan 13, 2020","39,541","39,801","39,801","39,510",20.34K,-0.77%
"Jan 10, 2020","39,849","39,721","39,888","39,550",26.62K,0.11%
"Jan 09, 2020","39,806","40,165","40,165","39,594",27.52K,-0.68%
"Jan 08, 2020","40,078","40,792","41,270","39,893",47.71K,-1.37%
"Jan 07, 2020","40,635","40,280","40,666","40,181",27.47K,0.46%
"Jan 06, 2020","40,448","40,250","41,049","40,250",33.17K,1.31%
"Jan 03, 2020","39,925","39,520","40,002","39,486",0.21K,1.80%
"Jan 02, 2020","39,220","38,953","39,685","38,905",0.25K,0.72%
"Jan 01, 2020","38,938","38,980","39,067","38,900",0.12K,-0.16%
"Dec 31, 2019","38,999","39,019","39,099","38,869",0.63K,0.45%
"Dec 30, 2019","38,823","38,993","38,994","38,701",5.57K,-0.40%
"Dec 27, 2019","38,978","38,805","38,995","38,685",11.52K,0.54%
"Dec 26, 2019","38,767","38,650","38,816","38,619",16.48K,0.37%
"Dec 24, 2019","38,624","38,240","38,644","38,240",13.88K,1.03%
"Dec 23, 2019","38,231","37,999","38,270","37,999",10.20K,0.60%
"Dec 20, 2019","38,002","38,076","38,120","37,965",12.05K,-0.28%
"Dec 19, 2019","38,110","37,998","38,140","37,880",13.07K,0.47%
"Dec 18, 2019","37,932","37,937","37,994","37,817",12.09K,-0.08%
"Dec 17, 2019","37,961","37,863","37,987","37,850",11.99K,0.23%
"Dec 16, 2019","37,873","37,740","37,948","37,735",13.05K,0.26%
"Dec 13, 2019","37,776","37,512","37,810","37,400",21.94K,0.58%
"Dec 12, 2019","37,559","37,749","38,044","37,500",22.61K,-0.36%
"Dec 11, 2019","37,693","37,602","37,741","37,554",10.90K,0.24%
"Dec 10, 2019","37,604","37,604","37,728","37,550",12.40K,-0.09%
"Dec 09, 2019","37,638","37,774","37,774","37,610",9.22K,-0.29%
"Dec 06, 2019","37,748","38,087","38,170","37,711",16.89K,-0.91%
"Dec 05, 2019","38,095","38,245","38,245","37,800",0.03K,-0.24%
"Dec 04, 2019","38,188","38,563","38,563","38,081",0.05K,-0.21%
"Dec 03, 2019","38,267","37,874","38,400","37,840",0.15K,0.93%
"Dec 02, 2019","37,915","38,240","38,240","37,715",0.89K,-0.12%
"Nov 29, 2019","37,961","37,770","38,070","37,711",4.27K,0.48%
"Nov 28, 2019","37,780","37,511","37,837","37,511",9.50K,0.54%
"Nov 27, 2019","37,578","37,753","37,753","37,530",11.79K,-0.52%
"Nov 26, 2019","37,775","37,747","37,830","37,615",15.75K,-0.02%
"Nov 25, 2019","37,782","37,891","37,905","37,736",14.90K,-0.38%
"Nov 22, 2019","37,927","37,975","38,150","37,905",20.37K,-0.12%
"Nov 21, 2019","37,971","38,156","38,200","37,945",20.03K,-0.48%
"Nov 20, 2019","38,155","38,218","38,325","38,020",23.56K,-0.13%
"Nov 19, 2019","38,206","38,223","38,230","37,920",24.87K,-0.06%
"Nov 18, 2019","38,228","37,943","38,249","37,810",23.23K,0.59%
"Nov 15, 2019","38,002","38,236","38,236","37,922",17.27K,-0.70%
"Nov 14, 2019","38,269","38,106","38,295","38,060",20.59K,0.43%
"Nov 13, 2019","38,107","37,820","38,150","37,800",23.10K,0.97%
"Nov 12, 2019","37,740","37,650","37,800","37,542",12.90K,0.14%
"Nov 11, 2019","37,688","37,710","37,850","37,532",17.28K,-0.05%
"Nov 08, 2019","37,705","37,655","37,880","37,488",27.50K,0.29%
"Nov 07, 2019","37,595","38,188","38,245","37,536",27.88K,-1.68%
"Nov 06, 2019","38,239","37,980","38,273","37,957",20.31K,-0.57%
"Nov 05, 2019","38,458","38,839","39,049","38,300",0.17K,-0.71%
"Nov 04, 2019","38,734","39,500","39,500","38,645",0.18K,0.21%
"Nov 01, 2019","38,652","38,759","38,800","38,518",0.72K,-0.49%
"Oct 31, 2019","38,842","38,300","38,898","38,300",2.30K,1.23%
"Oct 30, 2019","38,369","38,194","38,384","38,078",6.37K,0.68%
"Oct 29, 2019","38,110","38,063","38,194","37,988",11.17K,0.02%
"Oct 28, 2019","38,103","38,388","38,388","38,070",7.52K,-0.46%
"Oct 27, 2019","38,280","38,277","38,345","38,250",0.67K,-0.21%
"Oct 25, 2019","38,362","38,450","38,690","38,325",19.57K,-0.23%
"Oct 24, 2019","38,452","38,175","38,475","38,109",14.66K,0.86%
"Oct 23, 2019","38,124","38,090","38,249","38,090",12.60K,0.26%
"Oct 22, 2019","38,025","37,901","38,060","37,900",13.84K,0.15%
"Oct 21, 2019","37,969","38,098","38,144","37,940",10.41K,-0.40%
"Oct 18, 2019","38,121","38,179","38,212","38,025",16.23K,-0.25%
"Oct 17, 2019","38,216","38,190","38,250","38,001",20.29K,-0.08%
"Oct 16, 2019","38,248","38,175","38,271","37,980",26.51K,0.48%
"Oct 15, 2019","38,067","38,259","38,406","38,021",23.55K,-0.48%
"Oct 14, 2019","38,250","37,795","38,286","37,757",21.99K,1.09%
"Oct 11, 2019","37,839","38,050","38,263","37,736",27.08K,-0.74%
"Oct 10, 2019","38,120","38,400","38,434","38,030",20.64K,-0.69%
"Oct 09, 2019","38,384","38,279","38,418","38,154",20.03K,0.37%
"Oct 08, 2019","38,242","38,179","38,400","38,179",10.52K,0.70%
"Oct 07, 2019","37,978","38,225","38,302","37,765",15.80K,-0.06%
"Oct 04, 2019","38,002","37,948","38,215","37,879",0.15K,-0.03%
"Oct 03, 2019","38,012","37,583","38,215","37,583",0.38K,1.70%
"Oct 01, 2019","37,377","36,979","37,507","36,750",3.67K,1.37%
"Sep 30, 2019","36,873","37,600","37,620","36,811",17.00K,-2.21%
"Sep 27, 2019","37,706","37,824","37,824","37,301",27.42K,-0.18%
"Sep 26, 2019","37,773","37,572","37,825","37,427",25.21K,0.54%
"Sep 25, 2019","37,571","38,010","38,170","37,455",27.54K,-1.37%
"Sep 24, 2019","38,091","37,899","38,140","37,758",25.61K,0.49%
"Sep 23, 2019","37,905","37,750","37,960","37,725",19.98K,0.63%
"Sep 20, 2019","37,669","37,700","37,749","37,437",20.70K,-0.01%
"Sep 19, 2019","37,672","37,700","37,767","37,525",23.03K,-0.44%
"Sep 18, 2019","37,837","38,067","38,067","37,728",19.42K,-0.42%
"Sep 17, 2019","37,995","38,068","38,165","37,853",24.42K,-0.43%
"Sep 16, 2019","38,161","37,749","38,188","37,749",25.82K,1.72%
"Sep 13, 2019","37,517","37,700","37,891","37,451",28.04K,-0.61%
"Sep 12, 2019","37,747","37,900","38,215","37,662",41.66K,-0.57%
"Sep 11, 2019","37,965","38,200","38,260","37,931",27.74K,-0.74%
"Sep 10, 2019","38,248","38,382","38,487","38,200",18.61K,-0.55%
"Sep 09, 2019","38,459","38,578","39,699","38,265",31.73K,-0.24%
"Sep 06, 2019","38,551","38,821","38,962","38,385",40.45K,0.12%
"Sep 05, 2019","38,504","39,198","39,370","38,353",0.63K,-2.12%
"Sep 04, 2019","39,337","39,337","39,490","38,981",1.85K,0.06%
"Sep 03, 2019","39,314","38,852","39,431","38,634",1.20K,1.57%
"Sep 02, 2019","38,708","38,520","38,800","38,400",2.32K,1.07%
"Aug 30, 2019","38,300","38,424","38,588","38,224",16.91K,-0.33%
"Aug 29, 2019","38,426","38,740","38,998","38,289",24.91K,-0.89%
"Aug 28, 2019","38,772","38,547","38,879","38,465",19.15K,0.33%
"Aug 27, 2019","38,644","38,367","38,679","38,331",20.05K,0.60%
"Aug 26, 2019","38,415","38,550","38,869","38,360",28.46K,0.15%
"Aug 23, 2019","38,357","37,700","38,426","37,595",28.96K,1.53%
"Aug 22, 2019","37,779","37,560","37,800","37,501",20.06K,0.48%
"Aug 21, 2019","37,598","37,555","37,636","37,441",15.78K,-0.11%
"Aug 20, 2019","37,640","37,400","37,680","37,350",19.81K,0.42%
"Aug 19, 2019","37,484","37,340","37,525","37,270",22.99K,-0.01%
"Aug 16, 2019","37,487","37,880","37,941","37,281",24.29K,-0.53%
"Aug 14, 2019","37,688","37,274","37,844","37,188",33.32K,1.13%
"Aug 13, 2019","37,268","37,860","38,147","36,860",41.66K,-1.44%
"Aug 12, 2019","37,812","37,620","37,909","37,620",9.18K,0.68%
"Aug 09, 2019","37,558","37,419","37,684","37,355",22.87K,0.66%
"Aug 08, 2019","37,311","37,899","37,899","37,175",33.79K,-1.55%
"Aug 07, 2019","37,899","37,250","38,125","37,250",44.11K,1.93%
"Aug 06, 2019","37,182","37,003","37,207","36,621",27.32K,1.28%
"Aug 05, 2019","36,711","36,412","36,775","36,240",0.29K,2.82%
"Aug 02, 2019","35,705","35,200","35,840","35,100",0.82K,1.63%
"Aug 01, 2019","35,134","34,520","35,500","34,430",2.71K,1.21%
"Jul 31, 2019","34,714","34,830","34,830","34,625",8.50K,-0.07%
"Jul 30, 2019","34,737","34,823","34,898","34,520",18.21K,-0.15%
"Jul 29, 2019","34,788","34,839","34,881","34,735",10.73K,-0.08%
"Jul 26, 2019","34,815","34,870","34,905","34,760",14.31K,-0.10%
"Jul 25, 2019","34,850","34,981","35,121","34,802",21.46K,-0.53%
"Jul 24, 2019","35,036","35,012","35,090","34,921",15.42K,0.02%
"Jul 23, 2019","35,030","35,065","35,135","34,907",20.41K,-0.32%
"Jul 22, 2019","35,143","35,100","35,189","35,035",16.10K,0.31%
"Jul 19, 2019","35,033","35,180","35,380","35,003",29.52K,-0.24%
"Jul 18, 2019","35,117","35,100","35,150","34,851",31.10K,0.22%
"Jul 17, 2019","35,039","34,700","35,080","34,611",27.57K,0.87%
"Jul 16, 2019","34,738","34,809","34,839","34,639",25.48K,-0.16%
"Jul 15, 2019","34,792","34,740","34,850","34,687",19.68K,-0.06%
"Jul 12, 2019","34,812","34,698","34,862","34,611",23.11K,0.58%
"Jul 11, 2019","34,612","34,800","34,995","34,591",34.61K,-0.44%
"Jul 10, 2019","34,765","34,469","34,806","34,332",31.36K,0.67%
"Jul 09, 2019","34,533","34,499","34,581","34,300",25.57K,-0.01%
"Jul 08, 2019","34,535","34,550","34,759","34,475",23.91K,0.48%
"Jul 05, 2019","34,370","34,395","35,037","33,900",0.04K,1.02%
"Jul 04, 2019","34,023","34,199","34,300","33,911",0.18K,-0.16%
"Jul 03, 2019","34,077","33,801","34,750","33,801",0.19K,0.88%
"Jul 02, 2019","33,779","33,530","33,804","33,507",0.35K,1.29%
"Jul 01, 2019","33,348","33,777","33,777","33,210",3.84K,-1.76%
"Jun 28, 2019","33,947","34,000","34,200","33,900",11.22K,0.05%
"Jun 27, 2019","33,931","34,270","34,270","33,777",13.58K,-0.60%
"Jun 26, 2019","34,135","34,160","34,173","33,964",20.45K,-0.48%
"Jun 25, 2019","34,300","34,345","34,599","34,160",30.86K,0.25%
"Jun 24, 2019","34,214","34,100","34,259","34,031",15.55K,0.75%
"Jun 21, 2019","33,960","33,890","34,297","33,709",27.58K,0.36%
"Jun 20, 2019","33,838","33,000","33,876","33,000",26.73K,2.61%
"Jun 19, 2019","32,976","32,907","32,999","32,875",10.56K,0.11%
"Jun 18, 2019","32,939","32,974","33,149","32,846",21.56K,-0.07%
"Jun 17, 2019","32,961","33,015","33,080","32,826",15.54K,-0.07%
"Jun 14, 2019","32,984","32,950","33,241","32,950",21.10K,0.30%
"Jun 13, 2019","32,884","32,739","32,918","32,662",12.03K,0.61%
"Jun 12, 2019","32,685","32,617","32,776","32,617",11.39K,0.33%
"Jun 11, 2019","32,576","32,640","32,662","32,431",10.98K,-0.11%
"Jun 10, 2019","32,611","32,800","32,800","32,585",9.62K,-0.78%
"Jun 07, 2019","32,867","32,641","32,944","32,610",18.52K,0.41%
"Jun 06, 2019","32,734","32,631","32,760","32,631",10.04K,0.39%
"Jun 05, 2019","32,607","32,540","32,866","32,540",11.50K,0.44%
"Jun 04, 2019","32,465","32,500","32,800","32,300",0.12K,0.19%
"Jun 03, 2019","32,405","32,147","32,499","32,113",1.29K,0.85%
"May 31, 2019","32,131","31,810","32,165","31,810",8.39K,0.94%
"May 30, 2019","31,831","31,721","31,896","31,560",10.73K,0.22%
"May 29, 2019","31,760","31,651","31,850","31,638",12.93K,0.61%
"May 28, 2019","31,569","31,629","31,718","31,510",11.67K,-0.19%
"May 27, 2019","31,630","31,588","31,716","31,580",8.36K,0.24%
"May 24, 2019","31,554","31,681","31,710","31,518",10.69K,-0.45%
"May 23, 2019","31,696","31,401","31,757","31,265",16.97K,0.78%
"May 22, 2019","31,452","31,460","31,568","31,416",9.61K,0.03%
"May 21, 2019","31,442","31,549","31,549","31,410",11.49K,-0.39%
"May 20, 2019","31,566","31,777","31,777","31,101",14.61K,-0.76%
"May 17, 2019","31,809","31,991","32,039","31,785",17.35K,-0.55%
"May 16, 2019","31,985","32,261","32,320","31,931",18.62K,-0.86%
"May 15, 2019","32,261","32,300","32,410","32,165",17.66K,0.04%
"May 14, 2019","32,248","32,451","32,451","32,235",17.75K,-0.77%
"May 13, 2019","32,499","31,900","32,538","31,885",25.01K,1.82%
"May 10, 2019","31,917","31,895","32,004","31,790",15.88K,-0.03%
"May 09, 2019","31,926","31,749","32,049","31,719",18.69K,0.72%
"May 08, 2019","31,697","31,740","31,930","31,676",16.67K,-0.13%
"May 07, 2019","31,739","31,600","31,758","31,542",12.37K,0.51%
"May 06, 2019","31,578","31,495","31,659","31,495",12.07K,0.76%
"May 03, 2019","31,341","31,250","31,500","31,163",0.08K,0.44%
"May 02, 2019","31,203","31,420","31,425","31,160",0.48K,-1.14%
"May 01, 2019","31,563","31,604","31,657","31,503",1.55K,-0.20%
"Apr 30, 2019","31,625","31,800","31,824","31,597",6.44K,-0.76%
"Apr 26, 2019","31,868","31,851","31,934","31,705",9.67K,0.08%
"Apr 25, 2019","31,843","31,750","31,926","31,641",11.64K,0.26%
"Apr 24, 2019","31,759","31,480","31,799","31,450",12.64K,0.74%
"Apr 23, 2019","31,525","31,490","31,566","31,401",9.92K,-0.02%
"Apr 22, 2019","31,531","31,497","31,697","31,497",9.89K,0.41%
"Apr 18, 2019","31,403","31,474","31,544","31,355",9.87K,-0.02%
"Apr 17, 2019","31,410","31,500","31,525","31,393",5.65K,-0.20%
"Apr 16, 2019","31,474","31,700","31,768","31,453",14.48K,-0.90%
"Apr 15, 2019","31,760","31,710","31,791","31,570",8.54K,0.00%
"Apr 12, 2019","31,760","31,721","31,871","31,705",11.01K,0.31%
"Apr 11, 2019","31,663","32,148","32,148","31,638",17.11K,-1.59%
"Apr 10, 2019","32,174","32,070","32,197","31,968",11.74K,0.24%
"Apr 09, 2019","32,098","32,131","32,171","32,020",11.01K,0.07%
"Apr 08, 2019","32,076","31,795","32,155","31,795",12.90K,1.62%
"Apr 05, 2019","31,566","31,535","31,620","31,400",0.06K,0.20%
"Apr 04, 2019","31,503","31,499","31,549","31,350",0.07K,0.17%
"Apr 03, 2019","31,450","31,499","31,607","31,318",0.17K,-0.27%
"Apr 02, 2019","31,535","31,550","31,590","31,359",0.39K,-0.11%
"Apr 01, 2019","31,570","31,588","31,730","31,542",4.52K,-0.42%
"Mar 29, 2019","31,703","31,600","31,788","31,510",11.36K,0.25%
"Mar 28, 2019","31,624","31,993","32,030","31,591",15.06K,-1.23%
"Mar 27, 2019","32,019","32,101","32,182","32,000",17.72K,-0.29%
"Mar 26, 2019","32,113","32,200","32,200","32,031",13.04K,-0.34%
"Mar 25, 2019","32,223","32,199","32,245","32,083",14.02K,0.21%
